Spotify ID,Artist IDs,song,Album Name,artist,Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
40VK8FwEZKE6pAUxWE5RuO,5j3iObqG7iT7utWpTTmC7F,Nectar Drop,Jahta Beat: The Lotus Memoirs,DJ Drez,17-04-2012,240986,0,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:40:14Z,"high vibe,kirtan,world fusion",0.648,0.305,1,-10.96,1,0.0358,0.471,0.916,0.116,0.524,79.999,4
7s2zxPRi7Ip6nl5g2kGRFE,0F6XbRSKV9dbY94XFhaAqD,Surya Namaskar (Sun Salutation),Anjali,Michael Mandrell and Benjy Wertheimer,01-01-2003,559813,49,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:40:42Z,world devotional,0.675,0.294,7,-15.845,1,0.0348,0.832,0.835,0.0784,0.468,100.004,4
5XtU5xUvhEoXAWVGu1Hek9,6NvMFz8onERoCM6bKjTASJ,Ong Namo,The Essential Snatam Kaur: Sacred Chants For Healing,Snatam Kaur,04-05-2010,601693,24,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:41:01Z,"healing,kirtan,kundalini",0.41,0.393,0,-10.933,1,0.0325,0.641,0.105,0.144,0.0896,129.606,4
6EiNPCNOmYBLJFy5kf68Va,1Bs9FqmJBHrAJN6DLFIPt1,Mangalam (Sean Dinsmore's Chillums at Dawn Remix),Dakini Lounge: Prem Joshua Remixed,Prem Joshua,2003,357720,42,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:41:15Z,"indian fusion,kirtan,world fusion",0.77,0.419,11,-8.866,1,0.101,0.103,0.649,0.622,0.604,80.99,4
1QiAxr5LVkmrnmCe5EURVA,1bs286UUnvo0aH5N0nmZEX,Khumjung,Spirit of Yoga,Ben Leinbach,04-11-2003,931786,0,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:41:36Z,"kirtan,meditation",0.13,0.0828,7,-16.424,1,0.0398,0.954,0.944,0.11,0.0273,97.957,3
6rYq40IMfNWoOSmHM6HLls,070RPr7Euzwf3yboA9Xp2U,Songs from the Seven Towers,Tales from the Grand Bazaar,Bombay Dub Orchestra,08-10-2013,478826,40,spotify:user:u754xevdvg53yevo0e94ri5up,2022-05-05T00:58:51Z,world fusion,0.422,0.307,6,-14.361,1,0.0309,0.238,0.848,0.0943,0.0449,139.986,4
2XOyluz7IWgOvvsRMtrYhw,7ieM2QOG3mf89WSTAfGvu1,Kaushi Kanada,Madras 1964,Nikhil Banerjee,22-06-2010,2619000,28,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:41:45Z,"hindustani classical,indian classical,sitar",0.262,0.277,2,-19.271,1,0.0377,0.933,0.265,0.702,0.156,91.938,4
5O2nAOu3pzs7obnsi4mB06,5j3iObqG7iT7utWpTTmC7F,Yearning,Jahta Beat: The Lotus Memoirs,DJ Drez,17-04-2012,293279,0,spotify:user:u754xevdvg53yevo0e94ri5up,2021-07-04T04:42:05Z,"high vibe,kirtan,world fusion",0.618,0.321,7,-14.896,1,0.0312,0.886,0.498,0.093,0.354,169.912,4
36r8wlnH6gfTVUtnGthp6G,79c3l83IsQveR07F6NnVWN,Peaceful Sunset,Peaceful Sunset,Pure Healing Waves,17-03-2021,80640,61,spotify:user:u754xevdvg53yevo0e94ri5up,2023-04-25T15:30:44Z,natural sounds,0.0928,0.0139,2,-31.114,1,0.0416,0.974,0.973,0.101,0.0367,80.232,3
381oyhnt5pDcY8rj0xmoBG,"4YRxDV8wJFPHPTeXepOstw,3eDT9fwXKuHWFvgZaaYC5v",Janib (Duet),Dilliwaali Zaalim Girlfriend,"Arijit Singh,Sunidhi Chauhan",09-03-2015,342898,51,spotify:user:5uqhnr4tk0cfluweczwti1exv,2020-09-01T01:48:58Z,"filmi,modern bollywood",0.452,0.833,6,-4.292,1,0.0833,0.456,0,0.121,0.533,171.785,4
3Oel2uKhw6SBwZ5SfRCD6r,"1wRPtKGflJrBx9BmLsSwlU,2GoeZ0qOTt6kjsWW4eA6LS,2UwDJeoMqYers5Jmm75zm2",Mehrama - Extended,Love Aaj Kal (Original Motion Picture Soundtrack),"Pritam,Darshan Raval,Antara Mitra",14-02-2020,337749,54,spotify:user:5uqhnr4tk0cfluweczwti1exv,2020-09-01T01:49:23Z,"filmi,indian instrumental,modern bollywood,desi pop,gujarati pop",0.545,0.632,7,-8.462,1,0.0316,0.863,0.00737,0.0931,0.393,107.931,4
25MPTnqXQB1H6OkwSYUXWx,"7uX1emIGgmfAgtHNRAK50Z,52XgeWw24o4klNdfwvB0Vx",Malang (Title Track) [From Malang - Unleash The Madness],Malang (Title Track) [From Malang - Unleash The Madness],"Ved Sharma,Kunaal Vermaa",16-01-2020,287374,66,spotify:user:5uqhnr4tk0cfluweczwti1exv,2020-09-01T01:49:35Z,"desi pop,modern bollywood",0.384,0.728,7,-6.503,0,0.0623,0.329,0.0000185,0.329,0.311,156.396,4
4bD9z9qa4qg9BhryvYWB7c,"1wRPtKGflJrBx9BmLsSwlU,6k6dimE4a6OFnD0HWmkIUW,3cqeO3muWIW5uSmUDNCmyT",Kabira,Yeh Jawaani Hai Deewani,"Pritam,Tochi Raina,Rekha Bhardwaj",30-03-2013,223459,77,spotify:user:5uqhnr4tk0cfluweczwti1exv,2020-09-01T11:21:38Z,"filmi,indian instrumental,modern bollywood",0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,4
1smFN2CLqGROu0J0UyvDfL,"1wRPtKGflJrBx9BmLsSwlU,4YRxDV8wJFPHPTeXepOstw",Shayad,Love Aaj Kal (Original Motion Picture Soundtrack),"Pritam,Arijit Singh",14-02-2020,247941,77,spotify:user:5uqhnr4tk0cfluweczwti1exv,2020-09-01T11:21:48Z,"filmi,indian instrumental,modern bollywood",0.483,0.468,8,-7.642,1,0.0341,0.784,0,0.152,0.319,135.875,4
